start,end,today,deviceid,state,lgaa,wards,farmer-sex,age,type-farming,crops-grown,crops-grown/cassava,crops-grown/maize,crops-grown/cocoa,crops-grown/plantain,crops-grown/kolanut,crops-grown/oil-palm,crops-grown/cashew,crops-grown/banana,crops-grown/yam,crops-grown/pineapple,crops-grown/vegetables,farm_gps,_farm_gps_latitude,_farm_gps_longitude,_farm_gps_altitude,_farm_gps_precision,owner_ship,farm_seedling,farm_seed,seedling_name,cultivation_practiced,fertilizer_practice,fertilizer_yes/fertilizer-type,size-farm-plot,cooperative_part,experience,start_date_of_planting,end_date_of_planting,highest_quantity,proposed_sell,previous_harvested,lowest_quantity,amount_sold,means_buy_sell,access-internet,access-water,access-storage,store_yes/storage-facility,sell-produce,market_sell_buy,marketing-product,yield-price,standard-living,farm-sense,farm-picture,data-collector,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index,_tags,_notes,_version,_duration,_submitted_by,_xform_id
2018-12-24T08:57:17.899+01,2018-12-24T20:54:33.730+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_1,male,30,commercial,cassava maize,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.340765469333082 5.012580979675485 340.5332683095502 4.0,7.340765469,5.01258098,340.5332683,4,rentage,self_made,yes,Self,continous,no,,unit-50-100,no,2,8/24/2018,8/24/2019,7,98000,7,170000,140000,not_satisfied,no,no,no,,open_market,Igbara oke market,yes,strongly_agree,strongly_agree,strongly_agree,http://classic.ona.io/api/v1/files/10566461?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545639089986.jpg,akindele_ahmed,uuid:1e46aba8-75ce-4cdd-980e-24923d7b0ba0,39237852,1e46aba8-75ce-4cdd-980e-24923d7b0ba0,12/24/2018 20:07,1,,-1,,,2.01812E+11,43036,denironyx,369774
2018-12-24T09:29:12.337+01,2018-12-24T20:56:57.427+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_1,male,27,commercial,vegetables,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7.345414628612712 5.013449482191458 340.0756994653067 16.0,7.345414629,5.013449482,340.0756995,16,rentage,company,yes,USA Company,continous,no,,unit-100-100,no,10,8/19/2018,1/24/2019,20,200000,0,0,0,not_satisfied,yes,yes,no,,off_takers,Igbara oke market,no,strongly_agree,strongly_agree,disagree,http://classic.ona.io/api/v1/files/10566474?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545640704353.jpg,akindele_ahmed,uuid:3082b7f6-8df8-4cee-808b-b74059b3bf7d,39237913,3082b7f6-8df8-4cee-808b-b74059b3bf7d,12/24/2018 20:15,2,,-1,,,2.01812E+11,41265,denironyx,369774
2018-12-24T10:44:48.129+01,2018-12-24T14:40:38.117+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_2,male,47,commercial,cassava,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.34142353419352 5.0085897951307325 335.86845574686356 4.0,7.341423534,5.008589795,335.8684557,4,rentage,self_made,yes,Farmers,continous,no,,unit-120-120,no,10,5/24/2018,8/24/2018,25,250000,250000,300000,250000,satisfied,no,yes,no,,open_market,Owena Market,yes,strongly_agree,strongly_agree,strongly_agree,http://classic.ona.io/api/v1/files/10566475?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545645194990.jpg,akindele_ahmed,uuid:3057a5f7-e0b3-4138-97ae-cf5c3918a804,39237929,3057a5f7-e0b3-4138-97ae-cf5c3918a804,12/24/2018 20:18,3,,-1,,,2.01812E+11,14150,denironyx,369774
2018-12-24T11:43:00.250+01,2018-12-24T14:41:09.450+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_2,male,28,subsistence,cassava,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.352494034909058 5.0202222275391515 336.8611102258107 6.0,7.352494035,5.020222228,336.8611102,6,rentage,other,yes,Neighbouring Farmers,continous,no,,unit-50-100,no,10,9/20/2017,12/24/2018,4,120000,4,80000,100000,not_satisfied,no,no,no,,open_market,Owens Market,yes,strongly_agree,strongly_agree,strongly_agree,http://classic.ona.io/api/v1/files/10566476?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545648682385.jpg,akindele_ahmed,uuid:ce9e5b34-8a0f-4fd3-a3cc-185ee7bf66b2,39237959,ce9e5b34-8a0f-4fd3-a3cc-185ee7bf66b2,12/24/2018 20:24,4,,-1,,,2.01812E+11,10689,denironyx,369774
2018-12-24T12:05:15.323+01,2018-12-24T12:17:53.909+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_2,male,30,commercial,cassava vegetables,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7.35620185934515 5.023063849760903 352.4049997545827 24.0,7.356201859,5.02306385,352.4049998,24,rentage,other,yes,Other farmers,shifting,no,,unit-50-100,yes,12,7/24/2018,7/24/2019,8,160000,7,140000,175000,not_satisfied,no,yes,no,,open_market,Owena Market ,yes,agree,strongly_agree,strongly_agree,http://classic.ona.io/api/v1/files/10566477?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545650161929.jpg,akindele_ahmed,uuid:96b5b199-da88-42c7-b14c-66e8de1bb3b7,39237961,96b5b199-da88-42c7-b14c-66e8de1bb3b7,12/24/2018 20:26,5,,-1,,,2.01812E+11,758,denironyx,369774
2018-12-24T12:18:12.999+01,2018-12-24T12:34:10.838+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_2,male,30,commercial,vegetables,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7.356113326048709 5.023084670611225 344.3724322434646 8.0,7.356113326,5.023084671,344.3724322,8,rentage,open-market,yes,Other farmers with seed,shifting,no,,unit-100-100,yes,13,2/27/2019,5/24/2019,5,150000,5,120000,150000,satisfied,no,yes,no,,off_takers,Individual middle women and men,no,disagree,strongly_agree,strongly_agree,http://classic.ona.io/api/v1/files/10566478?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545651184649.jpg,akindele_ahmed,uuid:39c058e3-0242-424d-8d98-3d5b1164f236,39238045,39c058e3-0242-424d-8d98-3d5b1164f236,12/24/2018 20:28,6,,-1,,,2.01812E+11,958,denironyx,369774
2018-12-24T12:59:24.668+01,2018-12-24T14:43:21.779+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_2,male,25,commercial,cassava maize vegetables,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7.353343107039339 5.022303666385038 360.26984705125557 32.0,7.353343107,5.022303666,360.2698471,32,rentage,open-market,yes,Farmers in the neighbourhood,shifting,no,,unit-200-100,no,6,10/23/2017,3/24/2019,30,600000,28,700000,560000,not_satisfied,no,yes,no,,open_market,Owena Market,yes,disagree,strongly_agree,strongly_agree,http://classic.ona.io/api/v1/files/10566479?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545653270260.jpg,akindele_ahmed,uuid:8e3c7595-daa2-40e6-959b-c9fc0c7512a4,39238073,8e3c7595-daa2-40e6-959b-c9fc0c7512a4,12/24/2018 20:29,7,,-1,,,2.01812E+11,6237,denironyx,369774
2018-12-24T13:10:35.804+01,2018-12-24T14:41:27.275+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_2,male,25,commercial,vegetables,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7.3529637782474895 5.0222544160485665 372.7474561403205 16.0,7.352963778,5.022254416,372.7474561,16,rentage,open-market,yes,Self and other farmers,shifting,no,,unit-50-100,no,5,12/4/2018,6/24/2019,6,700000,500000,600000,500000,satisfied,no,yes,no,,off_takers,Middle men and women,yes,disagree,strongly_agree,strongly_agree,http://classic.ona.io/api/v1/files/10566480?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545653981971.jpg,akindele_ahmed,uuid:b330390c-9e28-46f6-b677-fc8156de0d5f,39238077,b330390c-9e28-46f6-b677-fc8156de0d5f,12/24/2018 20:30,8,,-1,,,2.01812E+11,5452,denironyx,369774
2018-12-23T06:58:36.706+01,2018-12-24T22:26:37.872+01,12/23/2018,3.51696E+14,ON,ifedore,igbaraoke_1,male,35,commercial,cassava,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.348836887378383 5.0096975740690475 342.9741993586881 16.0,7.348836887,5.009697574,342.9741994,16,own,self_made,yes,,continous,no,,unit-100-100,no,11,6/9/2018,4/4/2019,3,400000,2,300000,260000,not_satisfied,no,yes,no,,open_market,Owena,yes,disagree,agree,disagree,http://classic.ona.io/api/v1/files/10566571?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545639615567.jpg,awoniyi_rugayah,uuid:85c67b8f-9c89-4381-acd6-43938bcc53c3,39238730,85c67b8f-9c89-4381-acd6-43938bcc53c3,12/24/2018 21:28,9,,-1,,,2.01812E+11,142081,denironyx,369774
2018-12-24T09:23:43.643+01,2018-12-24T22:16:02.900+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_1,male,35,commercial,yam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7.349293447251044 5.009437809960147 339.3163168403409 6.0,7.349293447,5.00943781,339.3163168,6,own,self_made,yes,,continous,no,,unit-100-100,no,11,9/28/2018,6/28/2019,2,250000,2,300000,220000,not_satisfied,no,yes,no,,open_market,Igbara,yes,disagree,agree,disagree,http://classic.ona.io/api/v1/files/10566573?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545640285130.jpg,awoniyi_rugayah,uuid:866d4c45-7556-4184-8a13-a14b2cb87c0f,39238758,866d4c45-7556-4184-8a13-a14b2cb87c0f,12/24/2018 21:33,10,,-1,,,2.01812E+11,46339,denironyx,369774
